PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project,Photos on server,Photos on server NEW test,CO1 NEW,PSBA NEW,RBCL NEW
1879,,,Pyropia sp.,,BOLD,,,,,,,Martonelab,,,Red,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Bedrock, mid tidepool",,,50.13426,-125.19437,Jennifer Clark,Tyrell Forese,Jennifer Clark,14-Aug-2019,bioblitz2019,2,2,,,
1939,,,Pyropia sp.,,BOLD,,,,,,,Martonelab,,,Red,Canada,British Columbia,"Quadra Island, North of Yaculta",15-Aug-2019,,,,,High intertidal on small boulder in sand,,,50.02962,-125.20238,Jennifer Clark,Brenton Twist,"Jennifer Clark, Brenton Twist",15-Aug-2019,bioblitz2019,1,1,,,
1877,,,Calliarthron tuberculosum,,BOLD,,,,,,,Martonelab,,,Coralline,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Bedrock, low/mid tidepool, with Ulva intestinalis and fleshy reds",,,50.13426,-125.19437,Jennifer Clark,Tyrell Forese,Jennifer Clark,14-Aug-2019,bioblitz2019,1,1,,,
1882,,,Calliarthron tuberculosum,,BOLD,,,,,,,Martonelab,,,Coralline,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Tidepool side bedrock, mid intertidal",,,50.13426,-125.19437,Brenton Twist,Lauran Liggan,"Brenton Twist, Lauran Liggan",14-Aug-2019,bioblitz2019,1,1,,,
1904,,,Calliarthron tuberculosum,,BOLD,,,,,,,Martonelab,,,Coralline,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,"slender, few branches",,,"Epilithic, mid tidepool",,,50.13426,-125.19437,Patrick T. Martone,,Patrick T. Martone,14-Aug-2019,bioblitz2019,1,1,,,
1924,,,Calliarthron sp.,,BOLD,,,,,,,Martonelab,,,Red,Canada,British Columbia,"Quadra Island, Open Bay, Mould's Bay",14-Aug-2019,,,,,"Low intertidal, on rock, in rock pool",,,50.13426,-125.19437,Jennifer Clark,Tyrell Forese,Jennifer Clark,14-Aug-2019,bioblitz2019,1,1,,,
